year_month,state,district,biometric_total
2025-01,Andaman & Nicobar Islands,Andamans,1019
2025-01,Andaman & Nicobar Islands,Nicobars,1
2025-01,Andaman & Nicobar Islands,South Andaman,11
2025-01,Andaman and Nicobar Islands,Nicobar,1047
2025-01,Andaman and Nicobar Islands,North And Middle Andaman,4176
2025-01,Andaman and Nicobar Islands,South Andaman,6296
2025-01,Andhra Pradesh,Adilabad,26157
2025-01,Andhra Pradesh,Alluri Sitharama Raju,11152
2025-01,Andhra Pradesh,Anakapalli,4069
2025-01,Andhra Pradesh,Anantapur,54481
2025-01,Andhra Pradesh,Ananthapur,61739
2025-01,Andhra Pradesh,Ananthapuramu,83413
2025-01,Andhra Pradesh,Annamayya,5952
2025-01,Andhra Pradesh,Bapatla,3161
2025-01,Andhra Pradesh,Chittoor,162842
2025-01,Andhra Pradesh,Cuddapah,110947
2025-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,3731
2025-01,Andhra Pradesh,East Godavari,194787
2025-01,Andhra Pradesh,Eluru,5236
2025-01,Andhra Pradesh,Guntur,195052
2025-01,Andhra Pradesh,Hyderabad,62988
2025-01,Andhra Pradesh,K.V.Rangareddy,42
2025-01,Andhra Pradesh,K.v. Rangareddy,65
2025-01,Andhra Pradesh,Kakinada,7003
2025-01,Andhra Pradesh,Karim Nagar,603
2025-01,Andhra Pradesh,Karimnagar,7685
2025-01,Andhra Pradesh,Khammam,22798
2025-01,Andhra Pradesh,Krishna,152991
2025-01,Andhra Pradesh,Kurnool,239993
2025-01,Andhra Pradesh,Mahabub Nagar,1997
2025-01,Andhra Pradesh,Mahabubnagar,7
2025-01,Andhra Pradesh,Mahbubnagar,6495
2025-01,Andhra Pradesh,Medak,10159
2025-01,Andhra Pradesh,N. T. R,9005
2025-01,Andhra Pradesh,Nalgonda,14092
2025-01,Andhra Pradesh,Nandyal,6434
2025-01,Andhra Pradesh,Nellore,105306
2025-01,Andhra Pradesh,Nizamabad,5244
2025-01,Andhra Pradesh,Palnadu,6746
2025-01,Andhra Pradesh,Parvathipuram Manyam,7393
2025-01,Andhra Pradesh,Prakasam,143856
2025-01,Andhra Pradesh,Rangareddi,31934
2025-01,Andhra Pradesh,Sri Potti Sriramulu Nellore,6034
2025-01,Andhra Pradesh,Sri Sathya Sai,6497
2025-01,Andhra Pradesh,Srikakulam,133231
2025-01,Andhra Pradesh,Tirupati,6503
2025-01,Andhra Pradesh,Visakhapatnam,213914
2025-01,Andhra Pradesh,Vizianagaram,105195
2025-01,Andhra Pradesh,Warangal,28527
2025-01,Andhra Pradesh,West Godavari,144894
2025-01,Andhra Pradesh,Y. S. R,5257
2025-01,Arunachal Pradesh,Anjaw,706
2025-01,Arunachal Pradesh,Changlang,4065
2025-01,Arunachal Pradesh,Dibang Valley,207
2025-01,Arunachal Pradesh,East Kameng,2315
2025-01,Arunachal Pradesh,East Siang,1540
