year_month,state,district,demographic_total
2025-01,Andaman & Nicobar Islands,Andamans,33
2025-01,Andaman & Nicobar Islands,South Andaman,13
2025-01,Andaman and Nicobar Islands,Nicobar,419
2025-01,Andaman and Nicobar Islands,North And Middle Andaman,921
2025-01,Andaman and Nicobar Islands,South Andaman,633
2025-01,Andhra Pradesh,Adilabad,5853
2025-01,Andhra Pradesh,Alluri Sitharama Raju,5446
2025-01,Andhra Pradesh,Anakapalli,4717
2025-01,Andhra Pradesh,Anantapur,23439
2025-01,Andhra Pradesh,Ananthapur,10534
2025-01,Andhra Pradesh,Ananthapuramu,32335
2025-01,Andhra Pradesh,Annamayya,20756
2025-01,Andhra Pradesh,Bapatla,6061
2025-01,Andhra Pradesh,Chittoor,87043
2025-01,Andhra Pradesh,Cuddapah,27759
2025-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,4652
2025-01,Andhra Pradesh,East Godavari,68086
2025-01,Andhra Pradesh,Eluru,5330
2025-01,Andhra Pradesh,Guntur,89212
2025-01,Andhra Pradesh,Hyderabad,8250
2025-01,Andhra Pradesh,K.V.Rangareddy,36
2025-01,Andhra Pradesh,K.v. Rangareddy,6
2025-01,Andhra Pradesh,Kakinada,13899
2025-01,Andhra Pradesh,Karim Nagar,68
2025-01,Andhra Pradesh,Karimnagar,1291
2025-01,Andhra Pradesh,Khammam,6969
2025-01,Andhra Pradesh,Krishna,43114
2025-01,Andhra Pradesh,Kurnool,100584
2025-01,Andhra Pradesh,Mahabub Nagar,837
2025-01,Andhra Pradesh,Mahabubnagar,2
2025-01,Andhra Pradesh,Mahbubnagar,1720
2025-01,Andhra Pradesh,Medak,2233
2025-01,Andhra Pradesh,N. T. R,19915
2025-01,Andhra Pradesh,Nalgonda,3604
2025-01,Andhra Pradesh,Nandyal,17518
2025-01,Andhra Pradesh,Nellore,19391
2025-01,Andhra Pradesh,Nizamabad,724
2025-01,Andhra Pradesh,Palnadu,14796
2025-01,Andhra Pradesh,Parvathipuram Manyam,3514
2025-01,Andhra Pradesh,Prakasam,42403
2025-01,Andhra Pradesh,Rangareddi,4332
2025-01,Andhra Pradesh,Sri Potti Sriramulu Nellore,8750
