year_month,state,district,enrolment_total
2025-01,Andaman & Nicobar Islands,Andamans,3
2025-01,Andaman & Nicobar Islands,South Andaman,3
2025-01,Andaman and Nicobar Islands,Nicobar,12
2025-01,Andaman and Nicobar Islands,North And Middle Andaman,4
2025-01,Andaman and Nicobar Islands,South Andaman,8
2025-01,Andhra Pradesh,Adilabad,50
2025-01,Andhra Pradesh,Alluri Sitharama Raju,15
2025-01,Andhra Pradesh,Anakapalli,13
2025-01,Andhra Pradesh,Anantapur,104
2025-01,Andhra Pradesh,Ananthapur,36
2025-01,Andhra Pradesh,Ananthapuramu,57
2025-01,Andhra Pradesh,Annamayya,12
2025-01,Andhra Pradesh,Bapatla,10
2025-01,Andhra Pradesh,Chittoor,163
2025-01,Andhra Pradesh,Cuddapah,135
2025-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,12
2025-01,Andhra Pradesh,East Godavari,171
2025-01,Andhra Pradesh,Eluru,6
2025-01,Andhra Pradesh,Guntur,187
2025-01,Andhra Pradesh,Hyderabad,139
2025-01,Andhra Pradesh,K.V.Rangareddy,2
2025-01,Andhra Pradesh,K.v. Rangareddy,1
2025-01,Andhra Pradesh,Kakinada,20
2025-01,Andhra Pradesh,Karim Nagar,3
2025-01,Andhra Pradesh,Karimnagar,20
2025-01,Andhra Pradesh,Khammam,48
2025-01,Andhra Pradesh,Krishna,133
2025-01,Andhra Pradesh,Kurnool,276
2025-01,Andhra Pradesh,Mahabub Nagar,59
2025-01,Andhra Pradesh,Mahbubnagar,26
2025-01,Andhra Pradesh,Medak,40
2025-01,Andhra Pradesh,N. T. R,16
2025-01,Andhra Pradesh,Nalgonda,38
2025-01,Andhra Pradesh,Nandyal,22
2025-01,Andhra Pradesh,Nellore,149
2025-01,Andhra Pradesh,Nizamabad,13
2025-01,Andhra Pradesh,Palnadu,21
2025-01,Andhra Pradesh,Parvathipuram Manyam,8
2025-01,Andhra Pradesh,Prakasam,416
2025-01,Andhra Pradesh,Rangareddi,53
2025-01,Andhra Pradesh,Spsr Nellore,2067
2025-01,Andhra Pradesh,Sri Potti Sriramulu Nellore,51
2025-01,Andhra Pradesh,Sri Sathya Sai,16
2025-01,Andhra Pradesh,Srikakulam,112
2025-01,Andhra Pradesh,Tirupati,33
2025-01,Andhra Pradesh,Visakhapatanam,226
2025-01,Andhra Pradesh,Visakhapatnam,149
2025-01,Andhra Pradesh,Vizianagaram,80
2025-01,Andhra Pradesh,Warangal,37
2025-01,Andhra Pradesh,West Godavari,143
2025-01,Andhra Pradesh,Y. S. R,20
2025-01,Arunachal Pradesh,Anjaw,2
2025-01,Arunachal Pradesh,Changlang,33
2025-01,Arunachal Pradesh,East Kameng,4
2025-01,Arunachal Pradesh,East Siang,1
2025-01,Arunachal Pradesh,Kamle,1
2025-01,Arunachal Pradesh,Kra Daadi,5
2025-01,Arunachal Pradesh,Kurung Kumey,7
2025-01,Arunachal Pradesh,Lohit,3
2025-01,Arunachal Pradesh,Longding,432
2025-01,Arunachal Pradesh,Lower Dibang Valley,1
2025-01,Arunachal Pradesh,Lower Siang,1
2025-01,Arunachal Pradesh,Lower Subansiri,6
2025-01,Arunachal Pradesh,Namsai,2
2025-01,Arunachal Pradesh,Papum Pare,12
2025-01,Arunachal Pradesh,Siang,1
2025-01,Arunachal Pradesh,Tawang,4
2025-01,Arunachal Pradesh,Tirap,1
2025-01,Arunachal Pradesh,Upper Siang,1
2025-01,Arunachal Pradesh,Upper Subansiri,8
2025-01,Arunachal Pradesh,West Kameng,90
2025-01,Arunachal Pradesh,West Siang,13
2025-01,Assam,Bajali,3
2025-01,Assam,Baksa,1475
2025-01,Assam,Barpeta,6253
2025-01,Assam,Biswanath,290
2025-01,Assam,Bongaigaon,967
2025-01,Assam,Cachar,9524
2025-01,Assam,Charaideo,386
2025-01,Assam,Chirang,1909
2025-01,Assam,Darrang,2208
2025-01,Assam,Dhemaji,3966
2025-01,Assam,Dhubri,3701
2025-01,Assam,Dibrugarh,4146
2025-01,Assam,Dima Hasao,219
2025-01,Assam,Goalpara,5124
2025-01,Assam,Golaghat,7998
2025-01,Assam,Hailakandi,1634
2025-01,Assam,Hojai,3685
2025-01,Assam,Jorhat,2066
2025-01,Assam,Kamrup,7225
2025-01,Assam,Kamrup Metro,1852
2025-01,Assam,Karbi Anglong,4176
2025-01,Assam,Karimganj,5787
2025-01,Assam,Kokrajhar,2019
2025-01,Assam,Lakhimpur,2947
2025-01,Assam,Majuli,232
2025-01,Assam,Marigaon,4949
2025-01,Assam,Nagaon,3677
2025-01,Assam,Nalbari,524
2025-01,Assam,North Cachar Hills,498
2025-01,Assam,Sibsagar,836
2025-01,Assam,Sivasagar,422
2025-01,Assam,Sonitpur,2172
2025-01,Assam,South Salmara Mankachar,332
2025-01,Assam,Sribhumi,2
2025-01,Assam,Tamulpur District,3
2025-01,Assam,Tinsukia,4192
2025-01,Assam,Udalguri,1803
2025-01,Assam,West Karbi Anglong,1439
2025-01,Bihar,Araria,2242
2025-01,Bihar,Arwal,789
2025-01,Bihar,Aurangabad,258
2025-01,Bihar,Aurangabad(bh),1
2025-01,Bihar,Banka,1556
2025-01,Bihar,Begusarai,1032
2025-01,Bihar,Bhabua,1
2025-01,Bihar,Bhagalpur,8838
2025-01,Bihar,Bhojpur,1093
2025-01,Bihar,Buxar,148
2025-01,Bihar,Darbhanga,751
2025-01,Bihar,East Champaran,8994
2025-01,Bihar,Gaya,9843
2025-01,Bihar,Gopalganj,5844
2025-01,Bihar,Jamui,3184
2025-01,Bihar,Jehanabad,763
2025-01,Bihar,Kaimur (Bhabua),2806
2025-01,Bihar,Katihar,1791
2025-01,Bihar,Khagaria,249
2025-01,Bihar,Kishanganj,121
2025-01,Bihar,Lakhisarai,2486
2025-01,Bihar,Madhepura,194
2025-01,Bihar,Madhubani,7822
2025-01,Bihar,Munger,1731
2025-01,Bihar,Muzaffarpur,12749
2025-01,Bihar,Nalanda,3859
2025-01,Bihar,Nawada,3992
2025-01,Bihar,Pashchim Champaran,16149
2025-01,Bihar,Patna,7788
2025-01,Bihar,Purba Champaran,3
2025-01,Bihar,Purbi Champaran,14535
2025-01,Bihar,Purnea,8
2025-01,Bihar,Purnia,4443
2025-01,Bihar,Rohtas,155
2025-01,Bihar,Saharsa,2970
2025-01,Bihar,Samastipur,1304
2025-01,Bihar,Saran,4406
2025-01,Bihar,Sheikhpura,60
2025-01,Bihar,Sheikpura,2
2025-01,Bihar,Sheohar,47
2025-01,Bihar,Sitamarhi,26151
2025-01,Bihar,Siwan,2090
2025-01,Bihar,Supaul,197
2025-01,Bihar,Vaishali,862
2025-01,Bihar,West Champaran,12071
2025-01,Chandigarh,Chandigarh,150
2025-01,Chhattisgarh,Balod,20
2025-01,Chhattisgarh,Baloda Bazar,638
2025-01,Chhattisgarh,Balrampur,2081
2025-01,Chhattisgarh,Bastar,65
2025-01,Chhattisgarh,Bemetara,51
2025-01,Chhattisgarh,Bijapur,3320
2025-01,Chhattisgarh,Bilaspur,1633
2025-01,Chhattisgarh,Dakshin Bastar Dantewada,9
2025-01,Chhattisgarh,Dantewada,4
2025-01,Chhattisgarh,Dhamtari,37
2025-01,Chhattisgarh,Durg,962
2025-01,Chhattisgarh,Gariyaband,39
2025-01,Chhattisgarh,Gaurela-pendra-marwahi,4
2025-01,Chhattisgarh,Gaurella Pendra Marwahi,983
2025-01,Chhattisgarh,Janjgir-champa,122
2025-01,Chhattisgarh,Jashpur,56
2025-01,Chhattisgarh,Kabeerdham,15
2025-01,Chhattisgarh,Kanker,10
2025-01,Chhattisgarh,Kawardha,33
2025-01,Chhattisgarh,Khairagarh Chhuikhadan Gandai,3
2025-01,Chhattisgarh,Kondagaon,21
2025-01,Chhattisgarh,Korba,82
2025-01,Chhattisgarh,Koriya,34
2025-01,Chhattisgarh,Mahasamund,89
2025-01,Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,10
2025-01,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2
2025-01,Chhattisgarh,Mungeli,70
2025-01,Chhattisgarh,Narayanpur,17
2025-01,Chhattisgarh,Raigarh,1592
2025-01,Chhattisgarh,Raipur,434
2025-01,Chhattisgarh,Rajnandgaon,58
2025-01,Chhattisgarh,Sakti,17
2025-01,Chhattisgarh,Sarangarh-Bilaigarh,1
2025-01,Chhattisgarh,Sukma,1014
2025-01,Chhattisgarh,Surajpur,57
2025-01,Chhattisgarh,Surguja,83
2025-01,Chhattisgarh,Uttar Bastar Kanker,1
2025-01,Dadra & Nagar Haveli,Dadra & Nagar Haveli,1
2025-01,Dadra and Nagar Haveli,Dadra and Nagar Haveli,16
2025-01,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,1
2025-01,Dadra and Nagar Haveli and Daman and Diu,Diu,1
2025-01,Daman and Diu,Daman,3
2025-01,Delhi,Central Delhi,1868
2025-01,Delhi,East Delhi,5269
2025-01,Delhi,New Delhi,1458
2025-01,Delhi,North Delhi,1582
2025-01,Delhi,North East,41
2025-01,Delhi,North East Delhi,6184
2025-01,Delhi,North West Delhi,4145
2025-01,Delhi,Shahdara,1263
2025-01,Delhi,South Delhi,3290
2025-01,Delhi,South West Delhi,2687
2025-01,Delhi,West Delhi,11885
2025-01,Goa,North Goa,76
2025-01,Goa,South Goa,29
2025-01,Gujarat,Ahmadabad,5733
2025-01,Gujarat,Ahmedabad,2558
2025-01,Gujarat,Amreli,1071
2025-01,Gujarat,Anand,1838
2025-01,Gujarat,Arvalli,844
2025-01,Gujarat,Banas Kantha,12522
2025-01,Gujarat,Banaskantha,6472
2025-01,Gujarat,Bharuch,719
2025-01,Gujarat,Bhavnagar,3200
2025-01,Gujarat,Botad,1805
