year_month,state,district,enrolment_total,demographic_total,biometric_total,demo_update_rate,bio_update_rate,update_imbalance,demo_mom_delta,bio_mom_delta,z_demo_update_rate,z_bio_update_rate
2025-02,100000,100000,3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2025-03,100000,100000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,100000,100000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,100000,100000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11,100000,100000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12,100000,100000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Andaman & Nicobar Islands,Andamans,3,33.0,1019.0,8.25,254.75,-0.936372269705603,,,-0.772178263737519,2.0323599496469993
2025-02,Andaman & Nicobar Islands,Andamans,1,34.0,57.0,17.0,28.5,-0.25,1.0,-962.0,0.7991147147981305,-0.29114403523240234
2025-04,Andaman & Nicobar Islands,Andamans,3,66.0,30.0,16.5,7.5,0.3711340206185567,32.0,-27.0,0.7093265445960933,-0.5068062835527004
2025-09,Andaman & Nicobar Islands,Andamans,4,19.0,53.0,3.8,10.6,-0.4657534246575342,-47.0,23.0,-1.5712929785356495,-0.4749704278482754
2025-11,Andaman & Nicobar Islands,Andamans,3,49.0,47.0,12.25,11.75,0.020618556701030927,30.0,-6.0,-0.053872902121222074,-0.463160352345021
2025-12,Andaman & Nicobar Islands,Andamans,1,35.0,56.0,17.5,28.0,-0.22826086956521738,-14.0,9.0,0.8889028850001676,-0.29627885066859994
2025-03,Andaman & Nicobar Islands,Nicobars,1,1.0,0.0,0.5,0.0,0.5,,,,
2025-01,Andaman & Nicobar Islands,South Andaman,3,13.0,11.0,3.25,2.75,0.08,,,-0.8808836753450502,-1.6542540569371922
2025-03,Andaman & Nicobar Islands,South Andaman,2,13.0,20.0,4.333333333333333,6.666666666666667,-0.20588235294117646,0.0,9.0,-0.15215263483232694,0.15388409831973865
2025-04,Andaman & Nicobar Islands,South Andaman,2,7.0,17.0,2.3333333333333335,5.666666666666667,-0.4,-6.0,-3.0,-1.4975022480865854,-0.3077681966394777
2025-05,Andaman & Nicobar Islands,South Andaman,2,18.0,21.0,6.0,7.0,-0.075,11.0,4.0,0.9689720428795555,0.3077681966394773
2025-08,Andaman & Nicobar Islands,South Andaman,1,12.0,17.0,6.0,8.5,-0.16666666666666666,-6.0,-4.0,0.9689720428795555,1.0002466390783018
2025-11,Andaman & Nicobar Islands,South Andaman,3,24.0,19.0,6.0,4.75,0.11363636363636363,12.0,2.0,0.9689720428795555,-0.7309494670187594
2025-12,Andaman & Nicobar Islands,South Andaman,1,8.0,18.0,4.0,9.0,-0.37037037037037035,-16.0,-1.0,-0.37637757037470315,1.2310727865579099
2025-01,Andaman and Nicobar Islands,Nicobar,12,419.0,1047.0,32.23076923076923,80.53846153846153,-0.4280845262440354,,,2.465853281214183,2.6287163662095496
2025-02,Andaman and Nicobar Islands,Nicobar,5,29.0,61.0,4.833333333333333,10.166666666666666,-0.3516483516483517,-390.0,-986.0,-0.44455936530702445,-0.4214626053950668
2025-03,Andaman and Nicobar Islands,Nicobar,2,38.0,49.0,12.666666666666666,16.333333333333332,-0.125,9.0,-12.0,0.387570783043213,-0.154176016700984
2025-04,Andaman and Nicobar Islands,Nicobar,4,8.0,58.0,1.6,11.6,-0.746268656716418,-30.0,9.0,-0.7880343627111651,-0.35933653342833405
2025-08,Andaman and Nicobar Islands,Nicobar,2,30.0,51.0,10.0,17.0,-0.25609756097560976,22.0,-7.0,0.10429243466866414,-0.12528016927459662
2025-09,Andaman and Nicobar Islands,Nicobar,2,18.0,40.0,6.0,13.333333333333334,-0.3728813559322034,-12.0,-11.0,-0.3206250878931593,-0.28420733011972693
2025-10,Andaman and Nicobar Islands,Nicobar,7,12.0,35.0,1.5,4.375,-0.4791666666666667,-6.0,-5.0,-0.7986573007752106,-0.6724952799118067
2025-11,Andaman and Nicobar Islands,Nicobar,2,16.0,46.0,5.333333333333333,15.333333333333334,-0.47619047619047616,4.0,11.0,-0.3914446749867965,-0.19751978784056493
2025-12,Andaman and Nicobar Islands,Nicobar,2,21.0,31.0,7.0,10.333333333333334,-0.18867924528301888,5.0,-15.0,-0.21439570725270343,-0.4142386435384699
2025-01,Andaman and Nicobar Islands,North And Middle Andaman,4,921.0,4176.0,184.2,835.2,-0.638485680659082,,,3.169361598482972,3.1728142214059627
2025-02,Andaman and Nicobar Islands,North And Middle Andaman,4,58.0,161.0,11.6,32.2,-0.4681818181818182,-863.0,-4015.0,-0.25634745033450834,-0.23521617614393048
2025-03,Andaman and Nicobar Islands,North And Middle Andaman,6,85.0,69.0,12.142857142857142,9.857142857142858,0.1032258064516129,27.0,-92.0,-0.24557299711028518,-0.33004199969433134
2025-04,Andaman and Nicobar Islands,North And Middle Andaman,3,41.0,77.0,10.25,19.25,-0.3025210084033613,-44.0,8.0,-0.2831418142736949,-0.29017756300354586
2025-05,Andaman and Nicobar Islands,North And Middle Andaman,1,22.0,81.0,11.0,40.5,-0.5673076923076923,-19.0,4.0,-0.26825605652970236,-0.19998995908332762
2025-06,Andaman and Nicobar Islands,North And Middle Andaman,3,34.0,58.0,8.5,14.5,-0.25806451612903225,12.0,-23.0,-0.31787524900967745,-0.3103371450563005
2025-07,Andaman and Nicobar Islands,North And Middle Andaman,1,28.0,35.0,14.0,17.5,-0.109375,-6.0,-23.0,-0.20871302555373225,-0.2976047774440344
2025-08,Andaman and Nicobar Islands,North And Middle Andaman,5,42.0,66.0,7.0,11.0,-0.22018348623853212,14.0,31.0,-0.3476467644976625,-0.3251915739372776
