year_month,state,district,stat,ml
2025-01,Andaman & Nicobar Islands,Andamans,1.0,0.0
2025-01,Andaman and Nicobar Islands,North And Middle Andaman,1.0,0.0
2025-01,Andaman and Nicobar Islands,South Andaman,1.0,0.0
2025-01,Andhra Pradesh,Adilabad,1.0,0.0
2025-01,Andhra Pradesh,Alluri Sitharama Raju,1.0,1.0
2025-01,Andhra Pradesh,Anakapalli,1.0,0.0
2025-01,Andhra Pradesh,Anantapur,1.0,0.0
2025-01,Andhra Pradesh,Ananthapur,1.0,1.0
2025-01,Andhra Pradesh,Ananthapuramu,1.0,1.0
2025-01,Andhra Pradesh,Annamayya,1.0,1.0
2025-01,Andhra Pradesh,Bapatla,1.0,1.0
2025-01,Andhra Pradesh,Chittoor,1.0,1.0
2025-01,Andhra Pradesh,Cuddapah,1.0,0.0
2025-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,1.0,0.0
2025-01,Andhra Pradesh,East Godavari,1.0,1.0
2025-01,Andhra Pradesh,Eluru,1.0,1.0
2025-01,Andhra Pradesh,Guntur,1.0,1.0
2025-01,Andhra Pradesh,Hyderabad,1.0,0.0
2025-01,Andhra Pradesh,K.v. Rangareddy,1.0,0.0
2025-01,Andhra Pradesh,Kakinada,1.0,1.0
2025-01,Andhra Pradesh,Karim Nagar,1.0,0.0
2025-01,Andhra Pradesh,Karimnagar,1.0,0.0
2025-01,Andhra Pradesh,Khammam,1.0,0.0
2025-01,Andhra Pradesh,Krishna,1.0,1.0
2025-01,Andhra Pradesh,Kurnool,1.0,1.0
2025-01,Andhra Pradesh,Mahbubnagar,1.0,0.0
2025-01,Andhra Pradesh,Medak,1.0,0.0
2025-01,Andhra Pradesh,N. T. R,1.0,1.0
2025-01,Andhra Pradesh,Nalgonda,1.0,0.0
2025-01,Andhra Pradesh,Nandyal,1.0,1.0
2025-01,Andhra Pradesh,Nellore,1.0,0.0
2025-01,Andhra Pradesh,Nizamabad,1.0,0.0
2025-01,Andhra Pradesh,Palnadu,1.0,1.0
2025-01,Andhra Pradesh,Parvathipuram Manyam,1.0,1.0
2025-01,Andhra Pradesh,Prakasam,1.0,0.0
2025-01,Andhra Pradesh,Rangareddi,1.0,0.0
2025-01,Andhra Pradesh,Sri Potti Sriramulu Nellore,1.0,0.0
2025-01,Andhra Pradesh,Sri Sathya Sai,1.0,1.0
2025-01,Andhra Pradesh,Srikakulam,1.0,1.0
2025-01,Andhra Pradesh,Tirupati,1.0,0.0
2025-01,Andhra Pradesh,Visakhapatnam,1.0,1.0
2025-01,Andhra Pradesh,Vizianagaram,1.0,1.0
2025-01,Andhra Pradesh,Warangal,1.0,0.0
2025-01,Andhra Pradesh,West Godavari,1.0,1.0
2025-01,Andhra Pradesh,Y. S. R,1.0,1.0
2025-01,Arunachal Pradesh,Changlang,1.0,0.0
2025-01,Arunachal Pradesh,East Kameng,1.0,0.0
2025-01,Arunachal Pradesh,East Siang,1.0,0.0
2025-01,Arunachal Pradesh,Kamle,1.0,0.0
2025-01,Arunachal Pradesh,Kra Daadi,1.0,0.0
2025-01,Arunachal Pradesh,Kurung Kumey,1.0,0.0
2025-01,Arunachal Pradesh,Lohit,1.0,0.0
2025-01,Arunachal Pradesh,Lower Subansiri,1.0,0.0
2025-01,Arunachal Pradesh,Namsai,1.0,1.0
2025-01,Arunachal Pradesh,Papum Pare,1.0,0.0
2025-01,Arunachal Pradesh,Tawang,1.0,0.0
2025-01,Arunachal Pradesh,Tirap,1.0,0.0
2025-01,Arunachal Pradesh,Upper Siang,1.0,0.0
2025-01,Arunachal Pradesh,West Kameng,1.0,0.0
2025-01,Assam,Bajali,1.0,0.0
2025-01,Assam,Chirang,1.0,0.0
2025-01,Assam,Dima Hasao,1.0,0.0
2025-01,Assam,Sribhumi,1.0,0.0
2025-01,Assam,Tamulpur District,1.0,0.0
2025-01,Bihar,Araria,1.0,0.0
2025-01,Bihar,Aurangabad,1.0,0.0
2025-01,Bihar,Banka,1.0,0.0
2025-01,Bihar,Begusarai,1.0,0.0
2025-01,Bihar,Bhabua,1.0,0.0
2025-01,Bihar,Bhojpur,1.0,0.0
2025-01,Bihar,Buxar,1.0,0.0
2025-01,Bihar,Darbhanga,1.0,0.0
2025-01,Bihar,Katihar,1.0,0.0
2025-01,Bihar,Khagaria,1.0,0.0
2025-01,Bihar,Kishanganj,1.0,1.0
2025-01,Bihar,Madhepura,1.0,0.0
2025-01,Bihar,Nawada,1.0,0.0
2025-01,Bihar,Purnea,1.0,0.0
2025-01,Bihar,Rohtas,1.0,0.0
2025-01,Bihar,Samastipur,1.0,0.0
2025-01,Bihar,Saran,1.0,0.0
2025-01,Bihar,Sheikhpura,1.0,0.0
2025-01,Bihar,Sheohar,1.0,0.0
2025-01,Bihar,Siwan,1.0,0.0
2025-01,Bihar,Supaul,1.0,0.0
2025-01,Bihar,Vaishali,1.0,0.0
2025-01,Chandigarh,Chandigarh,1.0,0.0
2025-01,Chhattisgarh,Balod,1.0,1.0
2025-01,Chhattisgarh,Baloda Bazar,1.0,0.0
2025-01,Chhattisgarh,Bastar,1.0,1.0
2025-01,Chhattisgarh,Bemetara,1.0,1.0
2025-01,Chhattisgarh,Dakshin Bastar Dantewada,1.0,1.0
2025-01,Chhattisgarh,Dantewada,1.0,1.0
